name,town_city,country
Allianz Stadium Sydney,Sydney,Australia
Aviva Stadium,Dublin,Ireland
Bluenergy Stadium,Udine,Italy
Eden Park,Auckland,New Zealand
Ellis Park Stadium,Johannesburg,South Africa
Estadio José Amalfitani,Buenos Aires,Argentina
Groupama Stadium,Décines-Charpieu,France
HFC Bank Stadium,Suva,Fiji
Japan National Stadium,Tokyo,Japan
Murrayfield,Edinburgh,Scotland
Principality Stadium,Cardiff,Wales
Stade de France,Paris,France
Stadio Luigi Ferraris,Genoa,Italy
Stadio Olimpico,Rome,Italy
Twickenham Stadium,London,England
